"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that nested submenu items are clickable and lead to the correct page.","1297","Test Nested Menu Navigation","","Sun Sep 22 15:40:59 AMT 2024","passed","Sun Sep 22 15:41:00 AMT 2024","","UI Tests","",""
"Verifies that each footer link navigates to the correct page and displays the expected header text.","752","Test Footer Links Navigation","","Sun Sep 22 15:41:16 AMT 2024","passed","Sun Sep 22 15:41:16 AMT 2024","","UI Tests","",""
"Verifies that each footer link navigates to the correct page and displays the expected header text.","772","Test Footer Links Navigation","","Sun Sep 22 15:41:20 AMT 2024","passed","Sun Sep 22 15:41:21 AMT 2024","","UI Tests","",""
"Verifies that each footer link navigates to the correct page and displays the expected header text.","728","Test Footer Links Navigation","","Sun Sep 22 15:41:16 AMT 2024","passed","Sun Sep 22 15:41:17 AMT 2024","","UI Tests","",""
"Verifies that nested submenu items are clickable and lead to the correct page.","1637","Test Nested Menu Navigation","","Sun Sep 22 15:41:06 AMT 2024","passed","Sun Sep 22 15:41:08 AMT 2024","","UI Tests","",""
"Verifies that a product can be added to the cart and is correctly reflected in the cart contents.","1343","Add Product to Cart","","Sun Sep 22 15:41:09 AMT 2024","passed","Sun Sep 22 15:41:11 AMT 2024","","UI Tests","",""
"Verifies that nested submenu items are clickable and lead to the correct page.","3385","Test Nested Menu Navigation","","Sun Sep 22 15:41:00 AMT 2024","passed","Sun Sep 22 15:41:03 AMT 2024","","UI Tests","",""
"Verifies that searching for a product returns the correct results on the website.","1735","Test Product Search Functionality","","Sun Sep 22 15:41:08 AMT 2024","passed","Sun Sep 22 15:41:09 AMT 2024","","UI Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","10001","Test Menu Item Navigation","","Sun Sep 22 15:40:49 AMT 2024","passed","Sun Sep 22 15:40:59 AMT 2024","","UI Tests","",""
"Verifies that each footer link navigates to the correct page and displays the expected header text.","754","Test Footer Links Navigation","","Sun Sep 22 15:41:21 AMT 2024","passed","Sun Sep 22 15:41:22 AMT 2024","","UI Tests","",""
"Verifies that each footer link navigates to the correct page and displays the expected header text.","3101","Test Footer Links Navigation","","Sun Sep 22 15:41:17 AMT 2024","passed","Sun Sep 22 15:41:20 AMT 2024","","UI Tests","",""
"Verifies that a product can be added to the wishlist and is displayed on the wishlist page.","1345","Test Adding a Product to Wishlist","","Sun Sep 22 15:41:14 AMT 2024","passed","Sun Sep 22 15:41:16 AMT 2024","","UI Tests","",""
"Verifies that nested submenu items are clickable and lead to the correct page.","2764","Test Nested Menu Navigation","","Sun Sep 22 15:41:03 AMT 2024","passed","Sun Sep 22 15:41:06 AMT 2024","","UI Tests","",""
"Verifies that the homepage slider can be navigated using the next and previous buttons.","2050","Test Slider Functionality","","Sun Sep 22 15:41:11 AMT 2024","passed","Sun Sep 22 15:41:13 AMT 2024","","UI Tests","",""
